date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:28:52	7439/7439	---M--	200	added ('OK')	text/html	etag:%22ba520cfec9053c305c94d69e6d94e890%22	http://cpuburst.com/ganttcharts.html	C:/My%20Web%20Sites/CPU%20Burst/cpuburst.com/ganttcharts.html	(from )
19:28:53	2919/2919	---M--	404	error ('Not%20Found')	text/html	etag:%22f1d14bf2ef2fe1ce1aa6f9e448d9e262%22	http://cpuburst.com/robots.txt		(from )
19:28:54	146434/146434	---M--	200	added ('OK')	text/css	etag:%226ba8f78ef8397453047aa1d0c01d14d9%22	http://cpuburst.com/css/bootstrap-simplex.css	C:/My%20Web%20Sites/CPU%20Burst/cpuburst.com/css/bootstrap-simplex.css	(from http://cpuburst.com/ganttcharts.html)
19:28:56	35951/35951	---M--	200	added ('OK')	application/x-javascript	etag:%228c237312864d2e4c4f03544cd4f9b195%22	http://cpuburst.com/js/bootstrap.min.js	C:/My%20Web%20Sites/CPU%20Burst/cpuburst.com/js/bootstrap.min.js	(from http://cpuburst.com/ganttcharts.html)
19:28:56	43656/43656	---M--	200	added ('OK')	application/x-javascript	etag:%22b1a01fb8901539a2289f2c002045af54%22	http://cpuburst.com/js/bootstrap-slider.js	C:/My%20Web%20Sites/CPU%20Burst/cpuburst.com/js/bootstrap-slider.js	(from http://cpuburst.com/ganttcharts.html)
19:28:58	6935/6935	---M--	200	added ('OK')	text/css	etag:%22d1303f844a749efd58b8b229f110fa91%22	http://cpuburst.com/css/cpu-scheduler.css	C:/My%20Web%20Sites/CPU%20Burst/cpuburst.com/css/cpu-scheduler.css	(from http://cpuburst.com/ganttcharts.html)
19:28:59	1657/1657	---MCZ	200	added ('OK')	application/javascript	etag:W/%228bafcfb6872e60dd315531cc5a91a521%22	http://cdn.mathjax.org/mathjax/latest/MathJax.js?config=TeX-AMS-MML_HTMLorMML	C:/My%20Web%20Sites/CPU%20Burst/cdn.mathjax.org/mathjax/latest/MathJaxdda6.js	(from http://cpuburst.com/ganttcharts.html)
19:28:59	2678/2678	---M--	200	added ('OK')	application/x-javascript	etag:%2229e38c77a7124f26e0392dd11ab0520d%22	http://cpuburst.com/js/MathJaxSetup.js	C:/My%20Web%20Sites/CPU%20Burst/cpuburst.com/js/MathJaxSetup.js	(from http://cpuburst.com/ganttcharts.html)
19:29:00	19935/19935	---M--	200	added ('OK')	application/x-javascript	etag:%2237bd4d0a6862e974871d36a160cab341%22	http://cpuburst.com/js/cpu-scheduler.js	C:/My%20Web%20Sites/CPU%20Burst/cpuburst.com/js/cpu-scheduler.js	(from http://cpuburst.com/ganttcharts.html)
19:29:02	95931/95931	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	C:/My%20Web%20Sites/CPU%20Burst/ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	(from http://cpuburst.com/ganttcharts.html)
19:29:03	20127/20127	---M--	200	added ('OK')	application/octet-stream	etag:%22f4769f9bdb7466be65088239c12046d1%22	http://cpuburst.com/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/CPU%20Burst/cpuburst.com/fonts/glyphicons-halflings-regular.eot	(from http://cpuburst.com/css/bootstrap-simplex.css)
19:29:03	18028/18028	---M--	200	added ('OK')	application/octet-stream	etag:%22448c34a56d699c29117adc64c43affeb%22	http://cpuburst.com/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/CPU%20Burst/cpuburst.com/fonts/glyphicons-halflings-regular.woff2	(from http://cpuburst.com/css/bootstrap-simplex.css)
19:29:04	20127/20127	---M--	200	added ('OK')	application/octet-stream	etag:%22f4769f9bdb7466be65088239c12046d1%22	http://cpuburst.com/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/CPU%20Burst/cpuburst.com/fonts/glyphicons-halflings-regulard41d.eot	(from http://cpuburst.com/css/bootstrap-simplex.css)
19:29:06	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%2289889688147bd7575d6327160d64e760%22	http://cpuburst.com/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/CPU%20Burst/cpuburst.com/fonts/glyphicons-halflings-regular.svg	(from http://cpuburst.com/css/bootstrap-simplex.css)
19:29:07	23424/23424	---M--	200	added ('OK')	application/octet-stream	etag:%22fa2772327f55d8198301fdb8bcfc8158%22	http://cpuburst.com/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/CPU%20Burst/cpuburst.com/fonts/glyphicons-halflings-regular.woff	(from http://cpuburst.com/css/bootstrap-simplex.css)
19:29:07	2919/2919	---M--	404	error ('Not%20Found')	text/html	etag:%22f1d14bf2ef2fe1ce1aa6f9e448d9e262%22	http://cpuburst.com/Popover%20requires%20tooltip.js	C:/My%20Web%20Sites/CPU%20Burst/cpuburst.com/Popover%20requires%20tooltip.e.delayed	(from http://cpuburst.com/js/bootstrap.min.js)
19:29:08	45404/45404	---M--	200	added ('OK')	application/octet-stream	etag:%22e18bbf611f2a2e43afc071aa2f4e1512%22	http://cpuburst.com/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/CPU%20Burst/cpuburst.com/fonts/glyphicons-halflings-regular.ttf	(from http://cpuburst.com/css/bootstrap-simplex.css)
